row_type,point_index,amoc_sv,c_k,eke_c_k,eke_c_eps,kappaH_min,sss_offset
DEFAULT,,,0.1,0.4,0.5,2e-05,0
POINT,136,-3.416693379834821,0.01000000000000001,0.3904098582227624,0.01000000000000001,1.000000000000566e-07,0.913893485467956
POINT,224,-3.47632772085877,0.01000000000000001,0.3459247312729844,0.01000000000000001,1.000000000000566e-07,0.948731297875643
POINT,163,-3.543334866930924,0.2824490686088255,0.3923726442268833,0.01000000000000001,1.000000000000566e-07,0.9218056008221047
POINT,335,-3.762965632826468,0.08986800008843465,0.4361727895719663,0.01000000000000001,1.000000000000566e-07,0.8135351136868076
POINT,168,-3.764713630901377,0.1073089790355643,0.3523449344745306,0.01000000000000001,1.000000000000566e-07,0.8957699076542331
POINT,448,-3.80282551148379,0.01000000000000001,0.3214231624107122,0.01000000000000001,1.000000000000566e-07,0.9005505882903739
POINT,121,-3.820362315995463,0.1531279811536167,0.4324312799755848,0.01722399524428808,1.000000000000566e-07,0.8658364684658191
POINT,277,-3.893812517608219,0.3,0.2885103427078054,0.01000000000000001,1.000000000000566e-07,0.9571046839960878
POINT,364,-3.924301727027394,0.169234372845383,0.3969440515950498,0.01000000000000001,1.000000000000566e-07,0.8224465932432672
POINT,510,-3.935928101606761,0.01000000000000001,0.2178943553781268,0.01000000000000001,1.000000000000566e-07,1
POINT,287,-3.990612727771541,0.1672314306365819,0.249729032804594,0.01000000000000001,1.000000000000566e-07,0.9700256423176827
POINT,286,-4.17122544594026,0.01000000000000001,0.2203186028970503,0.01000000000000001,1.000000000000566e-07,0.9391943543768029
POINT,206,-4.254990363587958,0.01000000000000001,0.2833032132542702,0.01000000000000001,1.000000000000566e-07,0.8433822769664023
POINT,268,-4.390747432241787,0.1379671088099991,0.1520493792110136,0.0140401578188879,1.000000000000566e-07,1
POINT,405,-4.425526822840209,0.3,0.3241628325499429,0.5303934448538251,1.000000000000566e-07,1
POINT,146,-4.461952399378537,0.2295886473940151,0.3972268139994377,0.01000000000000001,8.955535194080121e-05,0.8580190696216838
POINT,345,-4.466020029519212,0.182445270861513,0.2804371807920964,1,1.000000000000566e-07,1
POINT,517,-4.47964663202314,0.3,0.09835989900139425,1,1.000000000000566e-07,1
POINT,296,-4.496746723104724,0.01000000000000001,0.2053160326007598,0.5595711774785732,1.000000000000566e-07,1
POINT,311,-4.541837544243537,0.01000000000000001,0.1188063444891899,1,1.000000000000566e-07,1
POINT,227,-4.541922611971283,0.3,0.4911847350412696,0.01000000000000001,1.000000000000566e-07,0.6450300248737475
POINT,250,-4.551021302467752,0.2519441645424156,0.1847226232570603,0.7211312761808097,1.000000000000566e-07,0.9793051226109799
POINT,262,-4.576410714636809,0.2164050179869814,0.0309699332619173,0.01000000000000001,1.000000000000566e-07,1
POINT,137,-4.581075979585939,0.2563202675324481,0.04469087032505489,0.6504714979015159,1.000000000000566e-07,0.975990127435906
POINT,333,-4.584723160995765,0.06867869433922839,0.01000000000000001,0.6374129897547965,1.000000000000566e-07,1
POINT,471,-4.590378845065761,0.01000000000000001,0.01000000000000001,0.01000000000000001,1.000000000000566e-07,1
POINT,200,-4.597038123291297,0.2724846550738371,0.09687149082979293,0.4439000588788553,1.000000000000566e-07,0.9708136502919686
POINT,264,-4.667551099587575,0.3,0.2484584054134272,1,1.000000000000566e-07,0.9358097495442846
POINT,126,-4.712069827207206,0.1102003870861431,0.2284106012137759,0.9186467387800032,1.000000000000566e-07,0.941251291728332
POINT,526,-4.714061809192462,0.01000000000000001,0.01000000000000001,1,1.000000000000566e-07,0.9566676698677052
POINT,199,-4.714450466845024,0.1490287129344854,0.07753427131572538,1,1.000000000000566e-07,0.9494138940166825
POINT,196,-4.720364151348114,0.2045219147622833,0.1067638369980158,0.01000000000000001,1.000000000000566e-07,0.9387408756619554
POINT,183,-4.729198247518407,0.05770812051159827,0.0705721686802987,0.3168154543742483,1.000000000000566e-07,0.952877297400585
POINT,129,-4.730947331423301,0.0620956709368173,0.1338029539025027,0.4820580965696453,1.000000000000566e-07,0.9458933118761033
POINT,263,-4.751070008963932,0.01000000000000001,0.4960746773634848,0.01000000000000001,1.000000000000566e-07,0.5949219512087733
POINT,247,-4.761199119501629,0.2028337742554677,0.01290534093774642,0.03302463026055213,1.000000000000566e-07,0.9347287416344928
POINT,450,-4.765765891140543,0.3,0.2700693178140436,0.3325079337382754,1.000000000000566e-07,0.9095938180271421
POINT,157,-4.809527852081979,0.1627354878745279,0.4553036352766932,0.04938675147971849,1.000000000000566e-07,0.7595629697739555
POINT,225,-4.810209201218156,0.2562803331852118,0.1795030947154455,0.01000000000000001,1.000000000000566e-07,0.8549687556989396
POINT,190,-4.819151658601477,0.2359975881564829,0.1511661909067805,0.6854757169683913,1.000000000000566e-07,0.9066302566112161
POINT,238,-4.829042076078207,0.1050874386029023,0.01127241070394785,0.7772941346122868,1.000000000000566e-07,0.9231924906211468
POINT,221,-4.833566523155613,0.1871344111871683,0.3004980429688781,1,1.000000000000566e-07,0.8940739077094337
POINT,172,-4.850163580784198,0.1883487606681521,0.0847841389457393,0.4724509189891367,1.000000000000566e-07,0.9076076218210483
POINT,161,-4.863507556729322,0.04331157324616502,0.1908686896314375,0.7433342230090292,1.000000000000566e-07,0.9007643262463678
POINT,167,-4.914965592952765,0.158203914228692,0.2059535970196753,1,1.000000000000566e-07,0.8828163506884839
POINT,139,-4.934233140844755,0.024975780572741,0.08541656596418826,0.01000000000000001,1.000000000000566e-07,0.8871640885558212
POINT,203,-4.93550868050982,0.2946916648251319,0.2629322453151594,0.783443987442467,1.000000000000566e-07,0.8608902047563445
POINT,208,-4.93631450056208,0.213157068819033,0.3009104871992102,0.2307806140372222,1.000000000000566e-07,0.8625426796934326
POINT,197,-4.939782306207928,0.01000000000000001,0.08763977381810384,0.7400151399308359,1.000000000000566e-07,0.8864433621182243
POINT,71,-4.940254598225779,0.05742988837390067,0.2417953634408694,0.5919314381589692,3.083643562399096e-05,0.8742039161477073
POINT,176,-4.956932744453769,0.01000000000000001,0.1948145170146783,0.06951239133609499,1.000000000000566e-07,0.8543831962321055
POINT,304,-4.957441613492568,0.2696129184873024,0.03355104564365596,1,1.000000000000566e-07,0.8624120954815948
POINT,162,-4.959741553212593,0.07968474026666872,0.1325450133175442,0.2056941415544294,1.000000000000566e-07,0.8850987214333448
POINT,213,-4.999586774944826,0.2962126639975811,0.333725359806292,0.7072718929939952,1.000000000000566e-07,0.8401465475197281
POINT,314,-5.005333343729935,0.3,0.01000000000000001,0.2205798948824179,1.000000000000566e-07,0.8475884022596057
POINT,259,-5.024394833474178,0.01000000000000001,0.01000000000000001,0.3594487153465311,1.000000000000566e-07,0.8670416972296028
POINT,124,-5.049555004427656,0.01000000000000001,0.3522940929711605,0.2567432126346842,1.000000000000566e-07,0.8222172584514716
POINT,320,-5.077063850979118,0.18955539223233,0.01000000000000001,0.01000000000000001,1.000000000000566e-07,0.8491828608858429
POINT,122,-5.115689825937337,0.01155821082311126,0.4482381909215414,0.8729993506186911,1.000000000000566e-07,0.8055735387957683
POINT,184,-5.119946544589505,0.2136319758738509,0.253881029318313,0.1465263182505032,1.000000000000566e-07,0.8213139927696013
POINT,267,-5.137151363731977,0.2053100200503219,0.4705738460612079,0.01000000000000001,1.000000000000566e-07,0.5732546843101596
POINT,148,-5.145468360499977,0.1799777181471156,0.4210636225438242,0.4405284159021137,1.000000000000566e-07,0.804255834683499
POINT,261,-5.150602193776967,0.03214462540872157,0.01952961180512666,0.8515718528687698,1.000000000000566e-07,0.8363087968251555
POINT,179,-5.152583551455132,0.01000000000000001,0.2131007763491706,0.9706403622575482,1.000000000000566e-07,0.8292013960421647
POINT,194,-5.176994624056216,0.05691622770283507,0.2903769413864991,0.6727682033584551,1.000000000000566e-07,0.8174833269947833
POINT,170,-5.177715175441388,0.05823230029125825,0.2123199031800323,0.4762939221428644,1.000000000000566e-07,0.8256418770773927
